SL ;"Inclination
Angle ?";"Speed S
rpm";"Feed fy
mm/min ";"Feed
fx mm";"Depth of
Cut t mm";"Avg. Ra
(Experimental)"
1;0;380;22;0,4;0,2;1,36
2;0;380;34;0,6;0,2;2,11
3;0;380;22;0,4;0,4;1,95
4;0;380;34;0,6;0,4;3,55
5;0;380;22;0,4;0,6;0,56
6;0;380;34;0,6;0,6;1,33
7;0;520;34;0,5;0,3;2,46
8;0;520;44;0,6;0,3;2,84
9;0;520;68;0,7;0,3;3,9
10;0;520;44;0,6;0,5;0,73
11;0;520;68;0,7;0,5;1,36
12;0;520;34;0,5;0,6;1,43
13;0;520;44;0,6;0,6;2,66
14;0;520;68;0,7;0,6;3,62
15;0;715;34;0,4;0,4;0,49
16;0;715;68;0,8;0,4;3,01
17;0;715;34;0,4;0,5;0,44
18;0;715;44;0,6;0,5;0,85
19;0;715;68;0,8;0,5;1,98
20;0;715;34;0,4;0,6;1,33
21;0;715;44;0,6;0,6;1,59
22;0;1020;22;0,4;0,6;0,98
23;0;715;34;0,8;0,4;3,07
24;15;380;34;0,4;0,3;1,35
25;15;380;68;0,8;0,3;5,11
26;15;380;34;0,4;0,5;1,65
27;15;380;44;0,6;0,5;3,71
28;15;380;34;0,4;0,6;1,61
29;15;380;44;0,6;0,6;3,71
30;15;380;68;0,8;0,6;4,43
31;15;520;34;0,4;0,4;1,61
32;15;520;68;0,8;0,4;5,23
33;15;520;34;0,4;0,5;1,27
34;15;520;44;0,6;0,5;3,05
35;15;520;68;0,8;0,5;5,18
36;15;520;34;0,4;0,6;1,39
37;15;520;44;0,6;0,6;3,99
38;15;715;34;0,4;0,3;1,79
39;15;715;44;0,6;0,3;2,07
40;15;715;68;0,8;0,3;5,69
41;15;715;34;0,4;0,4;1,25
42;15;715;68;0,8;0,4;5,49
43;15;715;34;0,4;0,6;1,53
44;15;715;68;0,8;0,6;5,07
45;15;520;34;0,6;0,4;3,55
46;30;380;34;0,4;0,3;1,81
47;30;380;44;0,6;0,3;3,37
48;30;380;68;0,8;0,3;5,19
49;30;380;34;0,4;0,5;1,45
50;30;380;44;0,5;0,5;1,5
51;30;380;34;0,3;0,6;1,37
52;30;380;44;0,5;0,6;2,06
53;30;380;68;0,6;0,6;3,67
54;30;520;34;0,4;0,4;1,61
55;30;520;68;0,8;0,4;4,74
56;30;520;34;0,4;0,5;1,85
57;30;520;68;0,7;0,5;2,53
58;30;520;34;0,3;0,6;1,39
59;30;520;44;0,5;0,6;1,42
60;30;520;68;0,6;0,6;3,41
61;30;715;34;0,4;0,3;1,41
62;30;715;68;0,8;0,3;5,88
63;30;715;34;0,4;0,4;1,46
64;30;715;44;0,5;0,4;1,92
65;30;715;68;0,7;0,4;1,96
66;30;715;34;0,3;0,6;1,44
67;30;715;44;0,5;0,6;1,26
68;30;715;68;0,6;0,6;3,51
69;30;520;44;0,6;0,4;3,53
70;30;380;68;0,7;0,5;4,09
71;15;520;44;0,6;0,4;3,25
72;30;380;68;0,4;0,6;1,19
73;15;715;44;0,6;0,6;1,97
74;0;380;44;0,8;0,6;2,06
75;0;380;44;0,8;0,4;4,09
76;0;715;44;0,6;0,4;1,37
77;30;715;44;0,6;0,3;3,5
78;0;380;44;0,8;0,2;3,03
79;0;715;68;0,8;0,6;2,08
80;15;380;68;0,8;0,5;5,15
81;30;520;34;0,5;0,5;0,38
82;15;520;68;0,8;0,6;5,52
83;30;520;44;0,5;0,5;2,03
84;15;380;44;0,6;0,3;2,05
